Id,Slug,Episode,Groups
1,gochuumon-wa-usagi-desu-ka-ss2,Phần 2,"Phần 1/gochuumon-wa-usagi-desu-ka,Phần 2/gochuumon-wa-usagi-desu-ka-ss2,Phần 3/gochuumon-wa-usagi-desu-ka-bloom,Movie/gochuumon-wa-usagi-desu-ka-dear-my-sister"
2,one-punch-man,Phần 1,"Phần 1/one-punch-man,Phần 2/one-punch-man-2nd-season,OVA/one-punch-man-road-to-hero-ova,Specials/one-punch-man-special"
3,dragon-ball-super,,
4,gakusen-toshi-asterisk,Phần 1,"Phần 1/gakusen-toshi-asterisk,Phần 2/gakusen-toshi-asterisk-ss2"
5,shinmai-maou-no-testament,Phần 1,"Phần 1/shinmai-maou-no-testament,Phần 2/shinmai-maou-no-testament-burst,OVA 1/shinmai-maou-no-testament-ova,OVA 2/shinmai-maou-no-testament-burst-ova,OVA 3/shinmai-maou-no-testament-departures"
6,than-vo-gia-cu-ss2,Phần 2,"Phần 1/than-vo-gia-cu-noragami,Phần 2/than-vo-gia-cu-ss2,OVA/noragami-aragoto-ova,OAD/noragami-oad"
7,su-thi-ve-mot-hiep-si-luu-ban,,
8,ushio-to-tora,Phần 1,"Phần 1/ushio-to-tora,Phần 2/ushio-to-tora-ss2"
9,owari-no-seraph-ss2,Phần 2,"Phần 1/owari-no-seraph,Phần 2/owari-no-seraph-ss2,OVA/owari-no-seraph-kyuuketsuki-shahar,Special 1/owari-no-seraph-owaranai-seraph,Special 2/owari-no-seraph-nagoya-kessen-hen-owaranai-seraph-nagoya-kessen-hen"
10,gintama-2015,Phần 4,"Phần 1+2+3/gintama,Phần 4/gintama-2015,Phần 5/gintama-2017,Phần 6/gintama-porori-hen,Phần 7/gintama-gin-no-tamashii-hen,Movie 1/gintama-shinyaku-benizakura-hen,Movie 2/gintama-the-final-chapter-be-forever-yorozuya-gintama-movie-2,Special 1/gintama-jump-anime-tour-2008-special,Special 2/gintama-jump-festa-2014-special,Special 3/gintama-jump-special-anime-festa-2015,OVA 1/gintama-ova-1-jump-festa,OVA 2/gintama-aizome-kaori-hen,Live Action 1/gintama-mitsuba-hen,Phần 8/gintama-shirogane-no-tamashii-hen-2"
11,young-black-jack,,
12,ginga-kikoutai-majestic-prince,,
13,grappler-baki,Phần 1+2,"Phần 1+2/grappler-baki,Phần 3/baki,Phần 4/baki-2nd-season,Phần 5/baki-hanma"
14,overlord,Phần 1,"Phần 1/overlord,Phần 2/overlord-ii,Phần 3/overlord-iii,Movie 1/overlord-movie-1-fushisha-no-ou,Movie 2/overlord-movie-2-shikkoku-no-eiyuu,Special/overlord-specials,OVA/overlord-ple-ple-pleiades,Phần 4/overlord-iv"
15,majin-tantei-nougami-neuro,,
16,tokyo-ghoul,Phần 1,"Phần 1/tokyo-ghoul,Phần 2/tokyo-ghoul-ss2,Phần 3/tokyo-ghoul-re,Phần 4/tokyo-ghoul-re-2nd-season,OVA 1/tokyo-ghoul-jack,OVA 2/tokyo-ghoul-pinto,Live Action 1/tokyo-ghoul-live-action,Live Action 2/tokyo-ghoul-s-live-action-2019"
